"","date","grade","sessions","users"
"1",2017-06-01,"1",99549,52277
"2",2017-06-01,"100",36176,16778
"3",2017-06-01,"2",126759,73795
"4",2017-06-01,"3",168856,106655
"5",2017-06-01,"4",234437,164160
"6",2017-06-01,"5",490616,387840
"7",2017-06-02,"1",89063,46102
"8",2017-06-02,"100",33234,15128
"9",2017-06-02,"2",111934,64533
"10",2017-06-02,"3",149240,93277
"11",2017-06-02,"4",206247,144488
"12",2017-06-02,"5",446185,354157
"13",2017-06-03,"1",76549,44145
"14",2017-06-03,"100",28051,14526
"15",2017-06-03,"2",99253,62548
"16",2017-06-03,"3",137090,91413
"17",2017-06-03,"4",203078,150230
"18",2017-06-03,"5",487268,388482
"19",2017-06-04,"1",70745,32284
"20",2017-06-04,"100",25996,10337
"21",2017-06-04,"2",90656,47947
"22",2017-06-04,"3",123979,71431
"23",2017-06-04,"4",174439,114314
"24",2017-06-04,"5",326517,238978
"25",2017-06-05,"1",91528,45853
"26",2017-06-05,"100",33975,14895
"27",2017-06-05,"2",115544,64130
"28",2017-06-05,"3",154671,93394
"29",2017-06-05,"4",209790,141096
"30",2017-06-05,"5",356006,265205
"31",2017-06-06,"1",84846,45711
"32",2017-06-06,"100",30896,14755
"33",2017-06-06,"2",108039,64400
"34",2017-06-06,"3",147696,94554
"35",2017-06-06,"4",207155,144865
"36",2017-06-06,"5",386846,297684
"37",2017-06-07,"1",97825,50302
"38",2017-06-07,"100",36183,16513
"39",2017-06-07,"2",123048,70666
"40",2017-06-07,"3",162824,101559
"41",2017-06-07,"4",217381,148722
"42",2017-06-07,"5",375382,284158
"43",2017-06-08,"1",99593,52126
"44",2017-06-08,"100",37557,17204
"45",2017-06-08,"2",126641,73335
"46",2017-06-08,"3",169654,106905
"47",2017-06-08,"4",230921,158958
"48",2017-06-08,"5",414877,313019
"49",2017-06-09,"1",94454,45710
"50",2017-06-09,"100",35780,15438
"51",2017-06-09,"2",113560,62145
"52",2017-06-09,"3",151267,91686
"53",2017-06-09,"4",206474,137894
"54",2017-06-09,"5",364130,267114
"55",2017-06-10,"1",91090,53899
"56",2017-06-10,"100",33917,17325
"57",2017-06-10,"2",113747,73785
"58",2017-06-10,"3",154798,108327
"59",2017-06-10,"4",226182,171185
"60",2017-06-10,"5",595601,467783
"61",2017-06-11,"1",86482,51720
"62",2017-06-11,"100",31352,16660
"63",2017-06-11,"2",109200,72250
"64",2017-06-11,"3",149170,105586
"65",2017-06-11,"4",214102,166697
"66",2017-06-11,"5",545099,453841
"67",2017-06-12,"1",111740,61040
"68",2017-06-12,"100",40495,19049
"69",2017-06-12,"2",138613,84685
"70",2017-06-12,"3",182365,120927
"71",2017-06-12,"4",231708,172952
"72",2017-06-12,"5",556019,457384
"73",2017-06-13,"1",114786,62743
"74",2017-06-13,"100",41235,19663
"75",2017-06-13,"2",142234,86388
"76",2017-06-13,"3",187834,122422
"77",2017-06-13,"4",251591,182391
"78",2017-06-13,"5",583082,471353
"79",2017-06-14,"1",107294,58556
"80",2017-06-14,"100",38771,18341
"81",2017-06-14,"2",133011,80947
"82",2017-06-14,"3",176725,115838
"83",2017-06-14,"4",241668,174511
"84",2017-06-14,"5",621422,487777
"85",2017-06-15,"1",111895,60887
"86",2017-06-15,"100",39457,18835
"87",2017-06-15,"2",138147,84264
"88",2017-06-15,"3",183037,120914
"89",2017-06-15,"4",248094,181906
"90",2017-06-15,"5",626642,510752
"91",2017-06-16,"1",98362,52772
"92",2017-06-16,"100",35350,16589
"93",2017-06-16,"2",119910,71797
"94",2017-06-16,"3",157470,101735
"95",2017-06-16,"4",208881,150011
"96",2017-06-16,"5",492732,377914
"97",2017-06-17,"1",79433,35969
"98",2017-06-17,"100",29242,10918
"99",2017-06-17,"2",99130,51947
"100",2017-06-17,"3",131351,75059
"101",2017-06-17,"4",175796,112247
"102",2017-06-17,"5",300242,219165
"103",2017-06-18,"1",78872,36396
"104",2017-06-18,"100",28718,10959
"105",2017-06-18,"2",98849,51699
"106",2017-06-18,"3",130747,75991
"107",2017-06-18,"4",175702,114795
"108",2017-06-18,"5",290518,214094
"109",2017-06-19,"1",107138,53549
"110",2017-06-19,"100",39184,16819
"111",2017-06-19,"2",128438,72528
"112",2017-06-19,"3",165252,101626
"113",2017-06-19,"4",214700,144380
"114",2017-06-19,"5",334036,247535
